timestamp,zone_id,gas_ppm,temperature_c,pressure_kpa
2026-07-04 09:00:00,zone_a,43.6,34.2,103.29
2026-07-04 09:00:00,zone_b,20,38.0,103.76
2026-07-04 09:00:00,zone_c,15.4,29.3,100.1
2026-07-04 09:00:00,zone_d,54.2,33.9,103.66
2026-07-04 09:00:30,zone_a,21.1,26.9,103.3
2026-07-04 09:00:30,zone_b,28,39.6,103.64
2026-07-04 09:00:30,zone_c,25.1,31.7,100.56
2026-07-04 09:00:30,zone_d,57.3,30.3,101.97
2026-07-04 09:01:00,zone_a,14.9,38.4,100.54
2026-07-04 09:01:00,zone_b,35,41.2,101.81
2026-07-04 09:01:00,zone_c,43.5,36.4,103.78
2026-07-04 09:01:00,zone_d,31.0,36.4,100.62
2026-07-04 09:01:30,zone_a,30.7,27.4,101.96
2026-07-04 09:01:30,zone_b,40,42.8,101.63
2026-07-04 09:01:30,zone_c,57.6,26.5,101.48
2026-07-04 09:01:30,zone_d,32.2,39.3,103.42
2026-07-04 09:02:00,zone_a,15.0,35.6,102.18
2026-07-04 09:02:00,zone_b,45,44.4,103.91
2026-07-04 09:02:00,zone_c,27.9,31.6,100.76
2026-07-04 09:02:00,zone_d,16.1,37.9,101.82
2026-07-04 09:02:30,zone_a,43.1,35.0,102.39
2026-07-04 09:02:30,zone_b,45,46.0,100.09
2026-07-04 09:02:30,zone_c,49.3,29.4,100.5
2026-07-04 09:02:30,zone_d,38.2,27.0,103.06
2026-07-04 09:03:00,zone_a,20.4,29.0,103.48
2026-07-04 09:03:00,zone_b,52,47.6,101.31
2026-07-04 09:03:00,zone_c,17.4,38.6,100.01
2026-07-04 09:03:00,zone_d,52.9,28.0,100.52
2026-07-04 09:03:30,zone_a,22.5,28.4,102.64
2026-07-04 09:03:30,zone_b,70,49.2,100.1
2026-07-04 09:03:30,zone_c,10.7,37.1,100.95
2026-07-04 09:03:30,zone_d,26.2,28.4,100.21
2026-07-04 09:04:00,zone_a,47.1,33.4,102.98
2026-07-04 09:04:00,zone_b,110,50.8,101.9
2026-07-04 09:04:00,zone_c,48.9,33.2,100.44
2026-07-04 09:04:00,zone_d,35.2,39.2,100.17
2026-07-04 09:04:30,zone_a,49.2,38.1,102.09
2026-07-04 09:04:30,zone_b,180,52.4,101.83
2026-07-04 09:04:30,zone_c,58.2,26.9,101.92
2026-07-04 09:04:30,zone_d,30.1,35.6,101.96
2026-07-04 09:05:00,zone_a,55.5,27.0,100.32
2026-07-04 09:05:00,zone_b,280,54.0,102.43
2026-07-04 09:05:00,zone_c,13.3,29.9,102.53
2026-07-04 09:05:00,zone_d,37.4,30.6,103.98
2026-07-04 09:05:30,zone_a,36.5,32.4,102.42
2026-07-04 09:05:30,zone_b,390,55.6,100.4
2026-07-04 09:05:30,zone_c,45.1,37.9,102.6
2026-07-04 09:05:30,zone_d,48.4,36.1,100.86
2026-07-04 09:06:00,zone_a,32.6,29.2,101.36
2026-07-04 09:06:00,zone_b,480,57.2,101.81
2026-07-04 09:06:00,zone_c,30.8,27.3,101.71
2026-07-04 09:06:00,zone_d,43.3,31.2,100.61
2026-07-04 09:06:30,zone_a,56.1,26.9,103.33
2026-07-04 09:06:30,zone_b,560,58.8,100.37
2026-07-04 09:06:30,zone_c,14.8,36.3,103.25
2026-07-04 09:06:30,zone_d,37.8,34.2,102.25
2026-07-04 09:07:00,zone_a,26.5,27.7,101.41
2026-07-04 09:07:00,zone_b,640,60.4,102.66
2026-07-04 09:07:00,zone_c,47.5,38.2,102.88
2026-07-04 09:07:00,zone_d,58.4,34.4,101.41
2026-07-04 09:07:30,zone_a,38.9,29.0,102.63
2026-07-04 09:07:30,zone_b,700,62.0,100.9
2026-07-04 09:07:30,zone_c,15.4,37.8,101.47
2026-07-04 09:07:30,zone_d,48.1,34.0,103.23
2026-07-04 09:08:00,zone_a,52.3,39.6,103.27
2026-07-04 09:08:00,zone_b,760,63.6,102.45
2026-07-04 09:08:00,zone_c,42.1,26.4,103.72
2026-07-04 09:08:00,zone_d,51.5,29.7,100.72
2026-07-04 09:08:30,zone_a,45.1,30.3,101.36
2026-07-04 09:08:30,zone_b,800,65.2,100.02
2026-07-04 09:08:30,zone_c,53.5,33.9,101.6
2026-07-04 09:08:30,zone_d,17.1,34.9,100.12
2026-07-04 09:09:00,zone_a,47.3,29.0,101.68
2026-07-04 09:09:00,zone_b,820,66.8,101.36
2026-07-04 09:09:00,zone_c,28.5,36.1,103.11
2026-07-04 09:09:00,zone_d,38.4,27.2,100.21
2026-07-04 09:09:30,zone_a,17.9,34.6,102.7
2026-07-04 09:09:30,zone_b,840,68.4,101.09
2026-07-04 09:09:30,zone_c,43.1,32.8,101.77
2026-07-04 09:09:30,zone_d,23.7,36.6,100.46
2026-07-04 09:10:00,zone_a,31.5,30.0,102.71
2026-07-04 09:10:00,zone_b,847,70.0,101.95
2026-07-04 09:10:00,zone_c,43.4,26.6,101.58
2026-07-04 09:10:00,zone_d,40.0,26.1,101.21
2026-07-04 09:10:30,zone_a,20.6,27.9,101.02
2026-07-04 09:10:30,zone_b,860,71.6,101.31
2026-07-04 09:10:30,zone_c,10.4,36.5,100.7
2026-07-04 09:10:30,zone_d,29.0,35.9,102.0
